"Fx0"	"z"	"Lx0"
1.39990955821269e-13	0.025	1.99737842440865e+41
1.53497030715265e-13	0.025	2.19008189181091e+41
1.53497030715265e-13	0.025	2.19008189181091e+41
1.53497030715265e-13	0.025	2.19008189181091e+41
1.53497030715265e-13	0.025	2.19008189181091e+41
1.68306147352009e-13	0.025	2.40137704213868e+41
1.68306147352009e-13	0.025	2.40137704213868e+41
1.68306147352009e-13	0.025	2.40137704213868e+41
1.8454402084834e-13	0.025	2.63305756742388e+41
1.8454402084834e-13	0.025	2.63305756742388e+41
2.02348495088798e-13	0.025	2.8870902118701e+41
2.21870712887253e-13	0.025	3.16563146761397e+41
2.21870712887253e-13	0.025	3.16563146761397e+41
2.43276399043618e-13	0.025	3.47104588126347e+41
2.43276399043618e-13	0.025	3.47104588126347e+41
2.43276399043618e-13	0.025	3.47104588126347e+41
2.43276399043618e-13	0.025	3.47104588126347e+41
2.66747267187556e-13	0.025	3.805926126618e+41
3.20700752370986e-13	0.025	4.57572962281402e+41
3.20700752370986e-13	0.025	4.57572962281402e+41
3.51641382461501e-13	0.025	5.01718776286205e+41
3.85567108730685e-13	0.025	5.50123698793468e+41
3.85567108730685e-13	0.025	5.50123698793468e+41
4.22765927873168e-13	0.025	6.03198640908683e+41
4.63553621985171e-13	0.025	6.61394157699573e+41
5.0827643924994e-13	0.025	7.25204272974069e+41
5.0827643924994e-13	0.025	7.25204272974069e+41
5.57314033250855e-13	0.025	7.95170673065937e+41
6.1108268586418e-13	0.025	8.718873052293e+41
6.1108268586418e-13	0.025	8.718873052293e+41
7.34682979824988e-13	0.025	1.0482390980716e+42
7.34682979824988e-13	0.025	1.0482390980716e+42
7.34682979824988e-13	0.025	1.0482390980716e+42
8.05563868455603e-13	0.025	1.14937131538031e+42
8.05563868455603e-13	0.025	1.14937131538031e+42
8.83283217362325e-13	0.025	1.26026058658692e+42
9.68500788856991e-13	0.025	1.38184825465118e+42
9.68500788856991e-13	0.025	1.38184825465118e+42
1.06193999792916e-12	0.025	1.51516648160353e+42
1.53497030715266e-12	0.025	2.19008189181092e+42
1.6830614735201e-12	0.025	2.40137704213869e+42
1.84544020848341e-12	0.025	2.63305756742389e+42
2.02348495088799e-12	0.025	2.88709021187011e+42
